Sample	Nb_read	Total_read	relative_abundance	Sample_bis
82DCM0GGZZ11	198267	155937521	0.127145153218128	82DCM0GGZZ
82DCM1GGMM12	132	167685465	7.87188084548652e-05	82DCM1GGMM
82SUR0CCKK11	147730	134447282	0.109879499088721	82SUR0CCKK
82SUR0GGMM11	304116	206915789	0.146975734171741	82SUR0GGMM
82SUR0GGZZ11	190858	148108907	0.128863283016463	82SUR0GGZZ
83SUR1GGMM11	155273	167855347	0.0925040535050694	83SUR1GGMM
83SUR1GGZZ11	509378	189244547	0.269163898286591	83SUR1GGZZ
84SUR0CCKK11	255025	221165348	0.115309655109262	84SUR0CCKK
84SUR0GGMM11	258310	150679269	0.171430351178569	84SUR0GGMM
84SUR0GGZZ11	182659	168283713	0.108542292503375	84SUR0GGZZ
85DCM0CCKK11	170596	218489282	0.0780798025598345	85DCM0CCKK
85DCM0GGMM11	232434	177622604	0.130858345033608	85DCM0GGMM
85DCM0GGZZ11	202593	176693793	0.114657677873269	85DCM0GGZZ
85SUR0CCKK11	153741	200850545	0.0765449752700447	85SUR0CCKK
85SUR0GGMM11	195906	142887585	0.137104983613517	85SUR0GGMM
85SUR0GGZZ11	196231	158137922	0.124088515593369	85SUR0GGZZ
86DCM1GGMM11	228174	221403351	0.103058060760788	86DCM1GGMM
86DCM1GGZZ11	174509	199962908	0.0872706852212811	86DCM1GGZZ
86SUR1GGMM11	194439	207782614	0.0935780892620785	86SUR1GGMM
86SUR1GGZZ11	130651	140315803	0.093112106552959	86SUR1GGZZ
87SUR1GGMM11	117552	150226038	0.0782500833843465	87SUR1GGMM
87SUR1GGZZ11	695073	184555902	0.376619220771384	87SUR1GGZZ
88SUR1GGMM11	163985	167700522	0.0977844302714812	88SUR1GGMM
88SUR1GGZZ11	616710	161634255	0.381546597285334	88SUR1GGZZ
89SUR1GGMM11	1288169	197019517	0.653828117952396	89SUR1GGMM
89SUR1GGZZ11	982345	194660068	0.504646386951843	89SUR1GGZZ
8DCM1GGMM11	485551	192979647	0.251607362511136	8DCM1GGMM
8SUR1GGMM11	76384	166057516	0.0459985201753831	8SUR1GGMM
90SUR1GGMM11	4558290	226139278	2.01570025354021	90SUR1GGMM
91SUR1GGMM11	1164118	217804882	0.53447745950892	91SUR1GGMM
92SUR1GGMM11	186187	232382348	0.0801209737324799	92SUR1GGMM
92SUR1GGZZ11	358430	176022651	0.203627202501342	92SUR1GGZZ
93DCM0CCKK11	55635	169305863	0.0328606458241792	93DCM0CCKK
93DCM1GGMM11	1527320	235156405	0.649491133358668	93DCM1GGMM
93SUR01GGZZ11	423163	218418005	0.193739980364714	93SUR01GGZZ
93SUR0CCKK11	26291	137491742	0.0191218756978146	93SUR0CCKK
93SUR1GGMM11	4265274	216350476	1.9714650408257	93SUR1GGMM
